,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
1722070875000,0.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,32.0,,,,,,,,,,,0.0
1722070880000,0.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,39.0,,,,,,,,,,,0.0
1722070885000,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,-9.223372036854775e+18,862.0,,,,,,,,,,,862.0
1722070890000,0.0,8.0,,,,,,,,,,,1.0,8.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722070895000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,,,,0.0
1722070900000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,303.0,,,,,,,,,,,0.0
1722070905000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722070910000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,359.0,,,,,,,,,,,0.0
1722070915000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722070920000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,268.0,,,,,,,,,,,0.0
1722070925000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,303.0,,,,,,,,,,,0.0
1722070930000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,359.0,,,,,,,,,,,0.0
1722070935000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,,,,0.0
1722070940000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722070945000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722070950000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,363.0,,,,,,,,,,,0.0
1722070955000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,,,,0.0
1722070960000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722070965000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,303.0,,,,,,,,,,,0.0
1722070970000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,,,,0.0
1722070975000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,,,,0.0
1722070980000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722070985000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,303.0,,,,,,,,,,,0.0
1722070990000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,303.0,,,,,,,,,,,0.0
1722070995000,0.0,8.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722071000000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722071005000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,303.0,,,,,,,,,,,0.0
1722071010000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,359.0,,,,,,,,,,,0.0
1722071015000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,303.0,,,,,,,,,,,0.0
1722071020000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,,,,0.0
1722071025000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722071030000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722071035000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,,,,0.0
1722071040000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722071045000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,303.0,,,,,,,,,,,0.0
1722071050000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,,,,0.0
1722071055000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722071060000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722071065000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722071070000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,359.0,,,,,,,,,,,0.0
1722071075000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722071080000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722071085000,0.0,8.0,,,,,,,,,,,1.0,8.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,,,,0.0
1722071090000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,,,,0.0
1722071095000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722071100000,0.0,9.0,,,,,,,,,,,2.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722071105000,0.0,9.0,,,,,,,,,,,2.0,9.0,2.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722071110000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722071115000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722071120000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722071125000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,,,,0.0
1722071130000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,,,,0.0
1722071135000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722071140000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,,,,0.0
1722071145000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722071150000,0.0,9.0,,,,,,,,,,,2.0,9.0,2.0,,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,,,,0.0
1722071155000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,303.0,,,,,,,,,,,0.0
1722071160000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722071165000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722071170000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,359.0,,,,,,,,,,,0.0
1722071175000,0.0,8.0,,,,,,,,,,,1.0,8.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722071180000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,,,,0.0
1722071185000,0.0,9.0,,,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,,,,0.0
1722071190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722071225000,0.0,9.0,3.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,348.0,142.0,,,,,,,,,,0.0
1722071230000,0.0,9.0,6.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,281.0,,,,,,,,,,0.0
1722071235000,0.0,9.0,8.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,410.0,,,,,,,,,,0.0
1722071240000,0.0,10.0,5.0,,,,,,,,,,1.0,11.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,255.0,,,,,,,,,,0.0
1722071245000,0.0,9.0,7.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,282.0,,,,,,,,,,0.0
1722071250000,0.0,9.0,9.0,,,,,,,,,,1.0,11.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,363.0,442.0,,,,,,,,,,0.0
1722071255000,0.0,8.0,9.0,,,,,,,,,,1.0,11.0,1.0,2.0,,,,,,,,,,0.0,-9.223372036854775e+18,321.0,402.0,,,,,,,,,,0.0
1722071260000,0.0,8.0,8.0,,,,,,,,,,1.0,11.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,268.0,202.0,,,,,,,,,,0.0
1722071265000,0.0,9.0,2.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,33.0,,,,,,,,,,0.0
1722071270000,0.0,9.0,1.0,,,,,,,,,,2.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,281.0,40.0,,,,,,,,,,0.0
1722071275000,0.0,9.0,0.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,40.0,,,,,,,,,,0.0
1722071280000,0.0,9.0,7.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,234.0,,,,,,,,,,0.0
1722071285000,0.0,9.0,2.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,120.0,,,,,,,,,,0.0
1722071290000,0.0,10.0,0.0,,,,,,,,,,1.0,11.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,363.0,35.0,,,,,,,,,,0.0
1722071295000,0.0,9.0,0.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,32.0,,,,,,,,,,0.0
1722071300000,0.0,10.0,4.0,,,,,,,,,,1.0,11.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,201.0,,,,,,,,,,0.0
1722071305000,0.0,10.0,2.0,,,,,,,,,,1.0,11.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,100.0,,,,,,,,,,0.0
1722071310000,0.0,9.0,2.0,,,,,,,,,,2.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,360.0,67.0,,,,,,,,,,0.0
1722071315000,0.0,10.0,2.0,,,,,,,,,,1.0,11.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,402.0,33.0,,,,,,,,,,0.0
1722071320000,0.0,9.0,2.0,,,,,,,,,,1.0,9.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,33.0,,,,,,,,,,0.0
1722071325000,0.0,9.0,5.0,,,,,,,,,,2.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,134.0,,,,,,,,,,0.0
1722071330000,0.0,10.0,3.0,,,,,,,,,,3.0,11.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,502.0,76.0,,,,,,,,,,0.0
1722071335000,0.0,9.0,1.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,66.0,,,,,,,,,,0.0
1722071340000,0.0,9.0,5.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,402.0,281.0,,,,,,,,,,0.0
1722071345000,0.0,9.0,0.0,,,,,,,,,,2.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,40.0,,,,,,,,,,0.0
1722071350000,0.0,9.0,2.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,404.0,74.0,,,,,,,,,,0.0
1722071355000,0.0,9.0,1.0,,,,,,,,,,2.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,234.0,68.0,,,,,,,,,,0.0
1722071360000,0.0,9.0,2.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,67.0,,,,,,,,,,0.0
1722071365000,0.0,10.0,3.0,,,,,,,,,,1.0,11.0,1.0,2.0,,,,,,,,,,0.0,-9.223372036854775e+18,404.0,134.0,,,,,,,,,,0.0
1722071370000,0.0,9.0,1.0,,,,,,,,,,1.0,9.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,402.0,36.0,,,,,,,,,,0.0
1722071375000,0.0,9.0,0.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,36.0,,,,,,,,,,0.0
1722071380000,0.0,10.0,4.0,,,,,,,,,,1.0,11.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,100.0,,,,,,,,,,0.0
1722071385000,0.0,10.0,1.0,,,,,,,,,,1.0,11.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,402.0,33.0,,,,,,,,,,0.0
1722071390000,0.0,9.0,3.0,,,,,,,,,,2.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,59.0,,,,,,,,,,0.0
1722071395000,0.0,9.0,1.0,,,,,,,,,,1.0,9.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,402.0,35.0,,,,,,,,,,0.0
1722071400000,0.0,9.0,5.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,167.0,,,,,,,,,,0.0
1722071405000,0.0,9.0,3.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,454.0,67.0,,,,,,,,,,0.0
1722071410000,0.0,9.0,2.0,,,,,,,,,,1.0,9.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,402.0,35.0,,,,,,,,,,0.0
1722071415000,0.0,9.0,1.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,36.0,,,,,,,,,,0.0
1722071420000,0.0,9.0,5.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,100.0,,,,,,,,,,0.0
1722071425000,0.0,9.0,0.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,281.0,35.0,,,,,,,,,,0.0
1722071430000,0.0,9.0,1.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,402.0,40.0,,,,,,,,,,0.0
1722071435000,0.0,9.0,0.0,,,,,,,,,,1.0,11.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,45.0,,,,,,,,,,0.0
1722071440000,0.0,9.0,5.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,202.0,,,,,,,,,,0.0
1722071445000,0.0,9.0,3.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,301.0,100.0,,,,,,,,,,0.0
1722071450000,0.0,9.0,0.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,76.0,,,,,,,,,,0.0
1722071455000,0.0,9.0,1.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,363.0,72.0,,,,,,,,,,0.0
1722071460000,0.0,9.0,2.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,303.0,201.0,,,,,,,,,,0.0
1722071465000,0.0,9.0,2.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,502.0,120.0,,,,,,,,,,0.0
1722071470000,0.0,10.0,1.0,,,,,,,,,,1.0,11.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,402.0,35.0,,,,,,,,,,0.0
1722071475000,0.0,9.0,2.0,,,,,,,,,,1.0,10.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,80.0,,,,,,,,,,0.0
1722071480000,0.0,9.0,3.0,,,,,,,,,,1.0,9.0,1.0,1.0,,,,,,,,,,0.0,-9.223372036854775e+18,361.0,120.0,,,,,,,,,,0.0
